Year,Region,Household Type,Measure,Value,Flags
"2002","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2003","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2004","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2005","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2006","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2007","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2008","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2009","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2010","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2011","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2012","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2013","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2014","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2015","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2016","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2017","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"2018","Taranaki Region","Couple with one dependent child","Median Self-employment Income",0,
"1998","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"1999","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2000","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2001","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2002","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2003","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2004","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2005","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2006","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2007","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2008","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2009","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2010","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2011","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2012","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2013","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2014","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2015","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2016","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2017","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"2018","Taranaki Region","Couple with one dependent child","Median Government Transfer Income",0,
"1998","Taranaki Region","Couple with one dependent child","Number of households (000)",3.3,
"1999","Taranaki Region","Couple with one dependent child","Number of households (000)",3.1,
"2000","Taranaki Region","Couple with one dependent child","Number of households (000)",3.5,
"2001","Taranaki Region","Couple with one dependent child","Number of households (000)",2.6,
"2002","Taranaki Region","Couple with one dependent child","Number of households (000)",2.8,
"2003","Taranaki Region","Couple with one dependent child","Number of households (000)",2.7,
"2004","Taranaki Region","Couple with one dependent child","Number of households (000)",3.1,
"2005","Taranaki Region","Couple with one dependent child","Number of households (000)",3.6,
"2006","Taranaki Region","Couple with one dependent child","Number of households (000)",2.9,
"2007","Taranaki Region","Couple with one dependent child","Number of households (000)",2.9,
"2008","Taranaki Region","Couple with one dependent child","Number of households (000)",2.6,
"2009","Taranaki Region","Couple with one dependent child","Number of households (000)",2.7,
"2010","Taranaki Region","Couple with one dependent child","Number of households (000)",2.8,
"2011","Taranaki Region","Couple with one dependent child","Number of households (000)",2.9,
"2012","Taranaki Region","Couple with one dependent child","Number of households (000)",3,
"2013","Taranaki Region","Couple with one dependent child","Number of households (000)",3.3,
"2014","Taranaki Region","Couple with one dependent child","Number of households (000)",3.1,
"2015","Taranaki Region","Couple with one dependent child","Number of households (000)",2.4,
"2016","Taranaki Region","Couple with one dependent child","Number of households (000)",2.5,
"2017","Taranaki Region","Couple with one dependent child","Number of households (000)",3.7,
"2018","Taranaki Region","Couple with one dependent child","Number of households (000)",2.7,
"1998","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",574,
"1999","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",614,
"2000","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",610,
"2001","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",518,
"2002","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",710,
"2003","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",653,
"2004","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",916,
"2005","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",902,
"2006","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",901,
"2007","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",959,
"2008","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1150,
"2009","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1125,
"2010","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",965,
"2011","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1051,
"2012","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",880,
"2013","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1176,
"2014","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1459,
"2015","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",921,
"2016","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1365,
"2017","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1427,
"2018","Manawatu-Wanganui Region","Couple with one dependent child","Median Wage and Salary Income",1294,
"1998","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"1999","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2000","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2001","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2002","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2003","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2004","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2005","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2006","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2007","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2008","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
"2009","Manawatu-Wanganui Region","Couple with one dependent child","Median Self-employment Income",0,
